Filename,File_Size,Index_of_Coincidence,Entropy,Nasty_Sig_Count,Super_Nasty_Sig_Count,Eval_Uses,Compression_Ratio,Longest_Word_Length,Label
pHpINJ.php.php.txt,1124,0.03842814271635141,5.439016912922058,8,0,0,0.5435943060498221,50,1
wso-4.1.3.php,77576,0.03016336306341547,5.691771573244569,26,0,3,0.2818655254202331,1128,1
weevely_232.php,759,0.042814284870037994,5.143951050573783,0,0,0,0.6851119894598156,101,1
27.9.txt,131446,0.036178121855779205,5.527365676330496,97,0,2,0.24419913880985347,422,1
arabicspy.php,44116,0.028637798238879915,5.634386087321467,41,0,0,0.28783207906428504,98,1
b374k-2.5.php,47490,0.015571720810468323,6.018690495448471,3,0,0,0.7581806696146557,47137,1
weevely_323.php,759,0.04227893249345584,5.139145690161795,0,0,0,0.686429512516469,101,1
Casus15.php.txt,13670,0.03684848425168512,5.519005766029976,8,0,0,0.2739575713240673,167,1
metaslsoft.php,79452,0.0240641084779573,5.834991754459507,37,0,1,0.302975381362332,5847,1
r57142.php,57396,0.015312180543112385,6.053334575300956,2,0,0,0.7518990870443933,55438,1
Antichat Shell v1.3.txt,8998,0.028246579340627805,5.654167847410715,10,0,0,0.34507668370749056,108,1
c37.php,174864,0.024976188082589695,5.847016046053803,141,0,4,0.28009767590813434,5794,1
bdotw44shell.txt,3188,0.034121917025683464,5.24497489870944,16,0,0,0.39397741530740277,70,1
Dx.txt,111606,0.022355584269061594,5.916469036491234,64,0,1,0.304929842481587,5034,1
nixrem.php.php.txt,67751,0.02733262459871797,5.321325406682406,52,0,1,0.32489557349707016,337,1
r57.php,98732,0.026912636907467785,5.925023267423973,18,0,1,0.26259976502045945,126,1
gif.php,703,0.026593395014447647,5.47279777412692,0,0,0,0.6415362731152204,46,1
weevely_375.php,695,0.03552754338316091,5.313315545927792,0,0,0,0.7194244604316546,80,1
c99_w4cking.txt,143062,0.03473460969161525,5.554759239185259,98,0,2,0.2348492262096154,422,1
weevely_1.php,769,0.03822943758127438,5.2659892346210455,0,0,0,0.6905071521456437,89,1
weevely_460.php,749,0.03852552065856079,5.2898570705092975,0,0,0,0.7089452603471295,116,1
ak74shell.php.php.txt,19593,0.03491745946557236,5.368973082535052,50,0,0,0.23559434491910375,178,1
Mysql interface v1.0.php.txt,33796,0.03683257565636983,5.457857702322923,1,0,0,0.19031838087347616,118,1
weevely_185.php,769,0.042689369310793236,5.159204055912236,0,0,0,0.6892067620286085,93,1
weevely_90.php,769,0.04284514521022974,5.1990272952273395,0,0,0,0.7022106631989596,85,1
list.php,557,0.047033827157304677,5.18657713348827,0,0,0,0.5763016157989228,23,1
weevely_3.php,675,0.037529398835036816,5.224118267753367,0,0,0,0.7096296296296296,100,1
weevely_374.php,779,0.04174490398672083,5.1668809415965065,0,0,0,0.6842105263157895,82,1
weevely_455.php,762,0.04001848651967124,5.207374027743605,0,0,0,0.7020997375328084,92,1
priv8-2012-bypass-shell.php.txt,137439,0.01781027538109997,6.011098849962856,74,0,2,0.3680905710897198,109,1
PHP reflection.php.txt,581,0.028155683325961963,5.053007057881941,4,0,2,0.576592082616179,79,1
weevely_331.php,749,0.03982493592169238,5.228992122235423,0,0,0,0.6969292389853138,116,1
2008.php.php.txt,66983,0.029843939462808874,5.496649607231127,31,0,0,0.3006583760058522,193,1
weevely_274.php,779,0.04402189874963287,5.135734291392537,0,0,0,0.6803594351732991,83,1
weevely_156.php,769,0.042157699393151275,5.16921753231488,0,0,0,0.6892067620286085,90,1
Worse Linux Shell.php,2455,0.03474405642228408,5.404414296253825,3,0,0,0.3788187372708758,60,1
Safe_Mode Bypass PHP 4.4.2 and PHP 5.1.2.txt,5306,0.028745364289817547,5.63748676363582,2,0,0,0.3782510365623822,55,1
weevely_177.php,742,0.04005660013604403,5.189380201429586,0,0,0,0.6846361185983828,115,1
Fatalshell.php.php.txt,16375,0.029687676515645266,5.5401103957257005,25,0,1,0.2989923664122137,144,1
SimShell 1.0 - Simorgh Security MGZ.php.txt,5164,0.04993426533580039,5.59734127516594,13,0,0,0.35592563903950425,56,1
MySQL Web Interface Version 0.8.php,34501,0.032097207012273116,5.477911905906806,1,0,0,0.1948639169879134,118,1
weevely_244.php,762,0.046388748055638904,5.090429479874781,0,0,0,0.6850393700787402,25,1
a.php,5159,0.059426709881300055,5.49298834754038,9,0,0,0.42469470827679784,62,1
Russian.php.php.txt,5107,0.028534777859556403,5.518913000375417,14,0,1,0.38378695907577837,91,1
php_niu_1.php,217,0.07117255504352278,4.405413757244644,1,0,0,0.543778801843318,75,1
weevely_347.php,749,0.041863304370176276,5.174609155070674,0,0,0,0.6969292389853138,118,1
weevely_87.php,779,0.041249905125218214,5.189877458712628,0,0,0,0.6842105263157895,80,1
weevely_479.php,772,0.04224377196696303,5.161906157425992,0,0,0,0.689119170984456,79,1
cybershell.php.php.txt,35152,0.025064486822369905,5.692669106318298,12,0,0,0.2880632680928539,1046,1
weevely_404.php,678,0.03680997634017856,5.236641800892807,0,0,0,0.7153392330383481,94,1
weevely_71.php,749,0.04781062807450933,5.083431317878763,0,0,0,0.6822429906542056,116,1
weevely_179.php,749,0.04313416105609619,5.14795061687208,0,0,0,0.6955941255006676,114,1
weevely_363.php,769,0.03889317837017772,5.211758387020503,0,0,0,0.6983094928478544,89,1
PH Vayv.txt,24678,0.04591166481033009,5.397233514234818,0,0,0,0.11722992138747063,61,1
weevely_12.php,759,0.038986863008888935,5.230758265036899,0,0,0,0.7009222661396575,102,1
